Newsletter Name,Category,Contact Email,Subscriber Count,Date Pitched,Response Status,Publication Date,Placement Type,Cost,UTM Source,Traffic Generated,Conversions,Revenue Attributed,ROI,Notes
The Good News Network,Good News,editor@goodnewsnetwork.org,125000,,,Free Editorial,$0,good_news_network,,,,,
Future Crunch,Good News,hello@futurecrunch.com,80000,,,Free Editorial,$0,future_crunch,,,,,
Chronicle of Philanthropy,Charity/Nonprofit,editor@philanthropy.com,250000,,,Free Editorial,$0,chronicle_philanthropy,,,,,
Import AI,Tech/AI,jack@anthropic.com,40000,,,Free Editorial,$0,import_ai,,,,,
Positive News,Good News,editorial@positive.news,60000,,,Free Editorial,$0,positive_news,,,,,
The Rundown AI,Tech/AI,sponsorships@therundown.ai,750000,,,Sponsored,$20000,rundown_ai,,,,,
TLDR AI,Tech/AI,advertise@tldr.tech,500000,,,Sponsored,$6000,tldr_ai,,,,,
Babylist,Parenting,partnerships@babylist.com,1200000,,,Sponsored,$18000,babylist,,,,,
Nonprofit Quarterly,Charity/Nonprofit,webeditor@nonprofitquarterly.org,75000,,,Free Editorial,$0,nonprofit_quarterly,,,,,
Giving Tuesday,Charity/Nonprofit,info@givingtuesday.org,500000,,,Free Editorial,$0,giving_tuesday,,,,,
GuideStar/Candid,Charity/Nonprofit,communications@candid.org,180000,,,Sponsored,$3000,guidestar,,,,,
Inside Philanthropy,Charity/Nonprofit,editorial@insidephilanthropy.com,50000,,,Free Editorial,$0,inside_philanthropy,,,,,
Benedict Evans,Tech/AI,benedict@ben-evans.com,175000,,,Free Editorial,$0,benedict_evans,,,,,
Stratechery,Tech/AI,ben@stratechery.com,30000,,,Sponsored,$30000,stratechery,,,,,
AI Breakfast,Tech/AI,hello@aibreakfast.beehiiv.com,125000,,,Sponsored,$5000,ai_breakfast,,,,,
AI Tidbits,Tech/AI,pete@aitidbit.com,85000,,,Sponsored,$4000,ai_tidbits,,,,,
Pediatrics AAP,Healthcare,journals@aap.org,67000,,,Sponsored,$10000,pediatrics_aap,,,,,
Children's Hospital Assoc,Healthcare,communications@childrenshospitals.org,25000,,,Partnership,Negotiable,childrens_hospital,,,,,
Pediatric News,Healthcare,editor@mdedge.com/pediatrics,45000,,,Sponsored,$8000,pediatric_news,,,,,
Health Tech Insider,Healthcare,hello@healthtechinsider.com,32000,,,Sponsored,$3000,health_tech_insider,,,,,
Lucie's List,Parenting,lucie@lucieslist.com,450000,,,Sponsored,$12000,lucies_list,,,,,
The Good Stuff (NYT),Parenting,parenting@nytimes.com,300000,,,Free Editorial,$0,nyt_parenting,,,,,
Fatherly,Parenting,advertising@fatherly.com,250000,,,Sponsored,$8000,fatherly,,,,,
Scary Mommy,Parenting,hello@scarymommy.com,350000,,,Sponsored,$10000,scary_mommy,,,,,
Reasons to be Cheerful,Good News,hello@reasonstobecheerful.world,45000,,,Free Editorial,$0,reasons_cheerful,,,,,
Some Good News,Good News,contact@somegoodnews.com,200000,,,Free Editorial,$0,some_good_news,,,,,
Bankless,Crypto/Web3,sponsorships@bankless.com,180000,,,Sponsored,$15000,bankless,,,,,
The Defiant,Crypto/Web3,camila@thedefiant.io,95000,,,Sponsored,$8000,the_defiant,,,,,
Decrypt,Crypto/Web3,advertising@decrypt.co,110000,,,Sponsored,$12000,decrypt,,,,,
