"DateReached","Handle","Platform","Niche","Email","Priority","DMSent","EmailSent","Response","Notes"
"12/17/2025","@givingforchange","Instagram","Philanthropy","hello@givingforchange.org","CRITICAL","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@parentingforchange","Instagram","Parenting","contact@parentingforchange.org","CRITICAL","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@parentingwithpurpose","YouTube","Parenting","contact@parentingwithpurpose.org","HIGH","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@charitychat","YouTube","Philanthropy","info@charitychat.org","HIGH","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@socialgoodpro","Twitter","Philanthropy","contact@socialgoodpro.io","HIGH","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@momstruth","Instagram","Parenting","hello@momstruth.com","HIGH","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@thedad","TikTok","Parenting","team@thedad.io","HIGH","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@aiforeveryone","Twitter","Tech","hello@aiforeveryone.io","HIGH","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@docsfamily","Instagram","Health","team@docsfamily.com","MEDIUM","Pending","Pending","","Kickstarter 72hr push"
"12/17/2025","@givingtuesday","Multiple","Philanthropy","partnerships@givingtuesday.org","VIP","Pending","Pending","","Kickstarter 72hr push"
